Hao Tb-In-BTC-eed aceton Ar 87K 04-25-15 (2) - Adsorption		Hao Tb-In-BTC-eed aceton Ar 87K 04-25-15 (2) - Desorption	
Relative Pressure (p/p°)	Quantity Adsorbed (cm_/g STP)	Relative Pressure (p/p°)	Quantity Adsorbed (cm_/g STP)
6.5678E-06	9.305471886	0.993069744	135.5476292
1.61197E-05	18.61805198	0.979046234	135.456676
2.65292E-05	27.9343575	0.930247363	135.5927217
4.82578E-05	46.60499832	0.879861023	135.7646222
7.11833E-05	65.2186263	0.831487283	135.9797987
0.000103092	83.52144552	0.78163843	136.1591908
0.00019937	101.0449124	0.731482676	136.3608215
0.001051252	116.5825874	0.681149988	136.565743
0.002885543	120.7347025	0.631271057	136.7233086
0.005175824	122.6926376	0.581436209	136.8343783
0.007169133	123.7197894	0.530882269	136.862611
0.008692306	124.3026319	0.481350797	136.910316
0.009864071	124.6852295	0.431239892	136.8906033
0.011954919	125.2239112	0.380890522	136.7279887
0.013843325	125.6683822	0.33093068	136.508437
0.014963621	125.9103567	0.280814878	136.2168995
0.016941165	126.2363968	0.230966656	135.7768066
0.018895655	126.5532529	0.18103165	135.0426147
0.019938752	126.7093682	0.133287825	133.9753858
0.029506294	127.7368094	0.098362359	132.8823268
0.039609135	128.5696589	0.077284797	132.069422
0.056517033	129.5802425	0.060270476	131.2294007
0.060040741	129.7980793	0.044830058	130.3376572
0.080101725	130.6849565	0.034745397	129.5349901
0.100005798	131.377566	0.026281954	128.7140385
0.119964763	132.0104186	0.019878214	127.9195548
0.139755946	132.5060855	0.009492665	125.7619178
0.159677816	132.9768699	0.008057605	125.3177157
0.179575865	133.4057533	0.00648994	124.6788018
0.199588664	133.7832079	0.005517864	124.1833889
0.249283253	134.2862768	0.00467976	123.6682585
0.299307647	134.7078081	0.004095601	123.2430137
0.349344543	135.0603157	0.003638953	122.8556376
0.399402237	135.3055387	0.003225738	122.448724
0.449283973	135.3930534	0.002876047	122.0539341
0.518595164	135.4218165	0.00259309	121.6885509
0.568646189	135.4870916	0.002340123	121.3195388
0.59912835	135.4642084	0.002139856	120.9872498
0.668274598	135.454094	0.001963796	120.6607016
0.718469145	135.4263289	0.001801849	120.3220879
0.768588493	135.4265791	0.001677154	120.0324173
0.818492325	135.3828117	0.001544438	119.6930802
0.868623261	135.2994214	0.001435814	119.3827538
0.918263943	135.2897617	0.001339358	119.0838403
0.968308573	135.3137715	0.001253359	118.7868253
0.993069744	135.5476292	0.001119911	118.2641445
